feature,padj,fold,model
CCDC26,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
MROH7,0.014031241625901001,3,RF_max_depth=2_min_samples_leaf=5
SLITRK2,0.014814121014561995,3,RF_max_depth=2_min_samples_leaf=5
PRSS40A,0.016181458476970046,3,RF_max_depth=2_min_samples_leaf=5
OR2A1-AS1,0.016622533951540976,3,RF_max_depth=2_min_samples_leaf=5
CENPI,0.016886481665560466,3,RF_max_depth=2_min_samples_leaf=5
SLC6A2,0.016886481665560466,3,RF_max_depth=2_min_samples_leaf=5
AC114324.1,0.016886481665560466,3,RF_max_depth=2_min_samples_leaf=5
SYNPO2L,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
DPYSL5,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
TNR,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
FBXO40,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
CRX,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
KCNIP3,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
HNRNPA1P51,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
ABHD1,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
OLMALINC,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
TEX45,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
EPHA10,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
FAM90A5P,0.017539660233741785,3,RF_max_depth=2_min_samples_leaf=5
XPOTP1,0.017820278998938118,3,RF_max_depth=2_min_samples_leaf=5
DMP1,0.017820278998938118,3,RF_max_depth=2_min_samples_leaf=5
CALB1,0.017820278998938118,3,RF_max_depth=2_min_samples_leaf=5
LINC00514,0.017820278998938118,3,RF_max_depth=2_min_samples_leaf=5
KCNH6,0.01801260044015546,3,RF_max_depth=2_min_samples_leaf=5
EREG,0.01801260044015546,3,RF_max_depth=2_min_samples_leaf=5
P2RX5-TAX1BP3,0.018045521443828354,3,RF_max_depth=2_min_samples_leaf=5
LOXHD1,0.018045521443828354,3,RF_max_depth=2_min_samples_leaf=5
TBR1,0.018377605251327082,3,RF_max_depth=2_min_samples_leaf=5
NPHS2,0.018377605251327082,3,RF_max_depth=2_min_samples_leaf=5
DBET,0.018377605251327082,3,RF_max_depth=2_min_samples_leaf=5
TMEM185B,0.018377605251327082,3,RF_max_depth=2_min_samples_leaf=5
AL021877.2,0.018377605251327082,3,RF_max_depth=2_min_samples_leaf=5
USP17L23,0.02018875081594464,3,RF_max_depth=2_min_samples_leaf=5
KCNJ3,0.020220637989254612,3,RF_max_depth=2_min_samples_leaf=5
FAM90A12P,0.020220637989254612,3,RF_max_depth=2_min_samples_leaf=5
CRB2,0.020220637989254612,3,RF_max_depth=2_min_samples_leaf=5
ABRA,0.020220637989254612,3,RF_max_depth=2_min_samples_leaf=5
SSX1,0.02129364622282527,3,RF_max_depth=2_min_samples_leaf=5
KRT16,0.02143695949022278,3,RF_max_depth=2_min_samples_leaf=5
MRGPRX3,0.02143695949022278,3,RF_max_depth=2_min_samples_leaf=5
AL117328.2,0.02143695949022278,3,RF_max_depth=2_min_samples_leaf=5
NECAB1,0.022054012254959288,3,RF_max_depth=2_min_samples_leaf=5
VAX1,0.0237874108657593,3,RF_max_depth=2_min_samples_leaf=5
SPIC,0.02424332761941429,3,RF_max_depth=2_min_samples_leaf=5
PROCA1,0.02441665838599665,3,RF_max_depth=2_min_samples_leaf=5
ACOXL,0.02657295685158734,3,RF_max_depth=2_min_samples_leaf=5
LINC01583,0.02657295685158734,3,RF_max_depth=2_min_samples_leaf=5
CSPG5,0.02657295685158734,3,RF_max_depth=2_min_samples_leaf=5
CLVS2,0.027101469995209144,3,RF_max_depth=2_min_samples_leaf=5
USP17L16P,0.02731927630195309,3,RF_max_depth=2_min_samples_leaf=5
CCDC42,0.02731927630195309,3,RF_max_depth=2_min_samples_leaf=5
TNIP3,0.02731927630195309,3,RF_max_depth=2_min_samples_leaf=5
TH,0.02731927630195309,3,RF_max_depth=2_min_samples_leaf=5
LINC01249,0.027800706849345134,3,RF_max_depth=2_min_samples_leaf=5
PFN2,0.02825034652616595,3,RF_max_depth=2_min_samples_leaf=5
MIAT,0.028346997548205573,3,RF_max_depth=2_min_samples_leaf=5
SLC24A4,0.028346997548205573,3,RF_max_depth=2_min_samples_leaf=5
TRPC6,0.029307562846594484,3,RF_max_depth=2_min_samples_leaf=5
NWD1,0.029307562846594484,3,RF_max_depth=2_min_samples_leaf=5
AMHR2,0.029783702544144964,3,RF_max_depth=2_min_samples_leaf=5
DTD1,0.029783702544144964,3,RF_max_depth=2_min_samples_leaf=5
MEGF11,0.029783702544144964,3,RF_max_depth=2_min_samples_leaf=5
KLK3,0.029783702544144964,3,RF_max_depth=2_min_samples_leaf=5
SLITRK5,0.029783702544144964,3,RF_max_depth=2_min_samples_leaf=5
DGKK,0.030162317323427647,3,RF_max_depth=2_min_samples_leaf=5
PLA2G2F,0.030622024944046224,3,RF_max_depth=2_min_samples_leaf=5
SEPT14P19,0.030622024944046224,3,RF_max_depth=2_min_samples_leaf=5
FAM174B,0.03177519788341467,3,RF_max_depth=2_min_samples_leaf=5
OR14J1,0.03294870949825732,3,RF_max_depth=2_min_samples_leaf=5
AC092068.2,0.03294870949825732,3,RF_max_depth=2_min_samples_leaf=5
KEL,0.03379866942573288,3,RF_max_depth=2_min_samples_leaf=5
PSCA,0.03379866942573288,3,RF_max_depth=2_min_samples_leaf=5
RPL34-AS1,0.034316864477139795,3,RF_max_depth=2_min_samples_leaf=5
IGHD,0.034316864477139795,3,RF_max_depth=2_min_samples_leaf=5
JAKMIP2,0.034316864477139795,3,RF_max_depth=2_min_samples_leaf=5
ZNF702P,0.034316864477139795,3,RF_max_depth=2_min_samples_leaf=5
GRM1,0.0343887040614536,3,RF_max_depth=2_min_samples_leaf=5
LRRC55,0.0343887040614536,3,RF_max_depth=2_min_samples_leaf=5
TMEM179,0.0343887040614536,3,RF_max_depth=2_min_samples_leaf=5
NPAP1,0.0343887040614536,3,RF_max_depth=2_min_samples_leaf=5
CALY,0.0343887040614536,3,RF_max_depth=2_min_samples_leaf=5
C2orf92,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
GABBR1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
CD40LG,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
AC008555.2,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
TRAIP,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
BCO1,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
PSG3,0.035178165454674844,3,RF_max_depth=2_min_samples_leaf=5
