feature,pvalue,fold,model
LTBP4,0.005182531301602356,3,RF_max_depth=2_min_samples_leaf=5
BHMT2,0.005494209376574182,3,RF_max_depth=2_min_samples_leaf=5
MUC5B,0.005729555198843657,3,RF_max_depth=2_min_samples_leaf=5
SATB2,0.006039307605561559,3,RF_max_depth=2_min_samples_leaf=5
CACNA1G,0.00612239690431811,3,RF_max_depth=2_min_samples_leaf=5
RFX2,0.006401931974100315,3,RF_max_depth=2_min_samples_leaf=5
SUSD6,0.00640704201878632,3,RF_max_depth=2_min_samples_leaf=5
SEMA6B,0.006480173469312881,3,RF_max_depth=2_min_samples_leaf=5
LDB2,0.006609112395288353,3,RF_max_depth=2_min_samples_leaf=5
TAF5L,0.0072751368738281095,3,RF_max_depth=2_min_samples_leaf=5
CERCAM,0.007377026614813228,3,RF_max_depth=2_min_samples_leaf=5
GAGE1,0.007440820267304087,3,RF_max_depth=2_min_samples_leaf=5
GOLGA6L3,0.007580564528773812,3,RF_max_depth=2_min_samples_leaf=5
MUC16,0.008914646554893255,3,RF_max_depth=2_min_samples_leaf=5
CYP27C1,0.008953427183647701,3,RF_max_depth=2_min_samples_leaf=5
GLDCP1,0.00929775899486218,3,RF_max_depth=2_min_samples_leaf=5
SDK1,0.009298660730420155,3,RF_max_depth=2_min_samples_leaf=5
LENG8-AS1,0.009409802439507196,3,RF_max_depth=2_min_samples_leaf=5
NBPF12,0.009791643343279257,3,RF_max_depth=2_min_samples_leaf=5
GOLGA8UP,0.009793050409109213,3,RF_max_depth=2_min_samples_leaf=5
KIAA1211L,0.00979765253644292,3,RF_max_depth=2_min_samples_leaf=5
NPHS2,0.009994918998920417,3,RF_max_depth=2_min_samples_leaf=5
MTMR9,0.010007262769583164,3,RF_max_depth=2_min_samples_leaf=5
AC138409.1,0.010152801530035052,3,RF_max_depth=2_min_samples_leaf=5
PAX2,0.010408862762239159,3,RF_max_depth=2_min_samples_leaf=5
PPP2R2B,0.010555720922404662,3,RF_max_depth=2_min_samples_leaf=5
POMT2,0.01081444825679738,3,RF_max_depth=2_min_samples_leaf=5
