gene,padj,fold,model
FUNDC2P2,0.01246545023561772,3,LR_C=0.001
KCNK16,0.01262791929664901,3,LR_C=0.001
GPR152,0.01262791929664901,3,LR_C=0.001
REXO1L3P,0.012801450875359404,3,LR_C=0.001
VSTM1,0.013252153900712754,3,LR_C=0.001
RPS4XP3,0.013341217021609068,3,LR_C=0.001
AHSP,0.013345337090713427,3,LR_C=0.001
C9orf24,0.013428019456591498,3,LR_C=0.001
IGKV6D-21,0.013721518396763173,3,LR_C=0.001
IGKV1D-43,0.014046106592710413,3,LR_C=0.001
PDYN,0.014046106592710413,3,LR_C=0.001
PCDHAC2,0.014090935086277448,3,LR_C=0.001
OR2T27,0.014166735687059269,3,LR_C=0.001
FAM83C,0.014166735687059269,3,LR_C=0.001
GUCY2F,0.01422236508540898,3,LR_C=0.001
KRT33B,0.014270700001879851,3,LR_C=0.001
WNT16,0.014560691179057735,3,LR_C=0.001
OR51D1,0.014658689087934551,3,LR_C=0.001
ZMYND12,0.014842942552811874,3,LR_C=0.001
TAAR5,0.015597736735377104,3,LR_C=0.001
AC009060.2,0.01560325433251736,3,LR_C=0.001
TREM2,0.01578988686676743,3,LR_C=0.001
TEX13A,0.015924119684186753,3,LR_C=0.001
GPR139,0.01612243881583402,3,LR_C=0.001
AC127070.4,0.016228833677981797,3,LR_C=0.001
OR51K1P,0.016290341182164325,3,LR_C=0.001
LLCFC1,0.016829099525573325,3,LR_C=0.001
RHEBL1,0.016829099525573325,3,LR_C=0.001
GHSR,0.017047776162790844,3,LR_C=0.001
MYOZ3,0.017226993120161075,3,LR_C=0.001
ZNF648,0.01733853051204848,3,LR_C=0.001
VGLL2,0.017472051213725387,3,LR_C=0.001
RAB25,0.017773423665657425,3,LR_C=0.001
C8orf87,0.017773423665657425,3,LR_C=0.001
LRRC53,0.017773423665657425,3,LR_C=0.001
AC239859.6,0.017773423665657425,3,LR_C=0.001
CDRT15L2,0.017800498384435263,3,LR_C=0.001
AC092368.3,0.017976997630697024,3,LR_C=0.001
KRT84,0.017976997630697024,3,LR_C=0.001
OR10A3,0.017976997630697024,3,LR_C=0.001
DNM1P51,0.017976997630697024,3,LR_C=0.001
TIMP4,0.017976997630697024,3,LR_C=0.001
AC008033.1,0.017976997630697024,3,LR_C=0.001
PJVK,0.017976997630697024,3,LR_C=0.001
AC025594.1,0.017976997630697024,3,LR_C=0.001
OR52N5,0.017976997630697024,3,LR_C=0.001
LGALS16,0.017976997630697024,3,LR_C=0.001
CRABP2,0.01812924288724069,3,LR_C=0.001
OR52I2,0.018174128091738205,3,LR_C=0.001
AC008395.1,0.01834813333520814,3,LR_C=0.001
KRT32,0.01834813333520814,3,LR_C=0.001
DRD1,0.018392684925084953,3,LR_C=0.001
OR5H2,0.018392684925084953,3,LR_C=0.001
RNASE10,0.018392684925084953,3,LR_C=0.001
RNASE8,0.019042911789328498,3,LR_C=0.001
IGHV3OR16-8,0.01937348494359055,3,LR_C=0.001
RD3L,0.019700025202581524,3,LR_C=0.001
BARHL2,0.020097221812224945,3,LR_C=0.001
IFNL2,0.020209784499825693,3,LR_C=0.001
GSX2,0.020253715992435948,3,LR_C=0.001
CRYGD,0.020253715992435948,3,LR_C=0.001
PRDM13,0.020253715992435948,3,LR_C=0.001
