feature,padj,fold,model
CYP51A1,0.9999744098911479,3,LR_C=1
ANKIB1,0.9999744098911479,3,LR_C=1
CFTR,0.9999744098911479,3,LR_C=1
SEMA3F,0.9999744098911479,3,LR_C=1
ENPP4,0.9999744098911479,3,LR_C=1
LAS1L,0.9999744098911479,3,LR_C=1
NIPAL3,0.9999744098911479,3,LR_C=1
STPG1,0.9999744098911479,3,LR_C=1
TSPAN6,0.9999744098911479,3,LR_C=1
FUCA2,0.9999744098911479,3,LR_C=1
CFH,0.9999744098911479,3,LR_C=1
FGR,0.9999744098911479,3,LR_C=1
C1orf112,0.9999744098911479,3,LR_C=1
SCYL3,0.9999744098911479,3,LR_C=1
DPM1,0.9999744098911479,3,LR_C=1
TNMD,0.9999744098911479,3,LR_C=1
GCLC,0.9999744098911479,3,LR_C=1
NFYA,0.9999744098911479,3,LR_C=1
