,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COQ8A,429.5752813460001,-1.4410950265238593,0.8927229710308434,-1.6142690098584567,0.1064690889929226,0.886691031134804
HOMER1,58.42206421126242,-1.7824381143158723,1.1049155182437678,-1.6131895017177493,0.10670334357015203,0.886691031134804
ARSA,141.34421866316563,-1.3663588260263342,0.8472978151624465,-1.612607517186117,0.10682980428918752,0.886691031134804
LAMC1,829.684778603706,-1.4691537248585067,0.9125903528691158,-1.6098720748467232,0.10742578645262138,0.886691031134804
CD81,859.6448385127403,-1.1559654732119553,0.7189791631426239,-1.6077871689066547,0.10788179957190315,0.886691031134804
SLF2,179.8680925337317,-1.266645323812168,0.7880716501518152,-1.6072717798796083,0.10799476198853236,0.886691031134804
NME1,32.894012666554815,1.9028658825343618,1.1851506553819755,1.605589866480786,0.10836405344640869,0.886691031134804
PDLIM7,169.91267085871874,-1.4866965428547718,0.9261608982242873,-1.605224908226195,0.10844431776673161,0.886691031134804
HLA-B,1844.2398531449305,-1.3667762649186794,0.8525625625185732,-1.6031389659910196,0.10890397682290666,0.886691031134804
DEK,451.36527090101043,-1.3723439860231623,0.8561844856303891,-1.602860141775095,0.10896553522799401,0.886691031134804
COL5A2,809.7024944710058,-1.2950668165318397,0.8082412544603387,-1.6023270395873985,0.1090833093635805,0.886691031134804
PFN1,341.7120659935645,-1.5093889629251067,0.9435821503230439,-1.5996370452836073,0.10967912526170974,0.886691031134804
COL4A1,1723.9337854385044,-1.12777115234165,0.7067113231493267,-1.595801730352853,0.11053306686265309,0.886691031134804
LSM8,58.78325681206257,-1.5367552807269071,0.9673815048093813,-1.5885721125397354,0.11215702841615863,0.886691031134804
AGXT,1837.1263035028107,-1.4481636855044446,0.9118388489669718,-1.5881794103695832,0.11224577557059524,0.886691031134804
TPR,1697.676755120067,-1.3034211402260811,0.8232064789958347,-1.5833465521505892,0.11334249793324179,0.886691031134804
ATRX,1071.3304406809496,-1.3014093406552711,0.8234608969667732,-1.5804142557940835,0.11401202896441241,0.886691031134804
HILPDA,20.77897066921009,-1.9485047100127093,1.2329727654371245,-1.5803306971844653,0.11403115342859632,0.886691031134804
NFIC,715.7915292088929,-1.171734847478638,0.7442125357687155,-1.5744626583968035,0.11538052787664686,0.886691031134804
TBL1XR1,319.6737616884299,-1.1275477603229587,0.7164501438978246,-1.5737979396424855,0.11553417054959134,0.886691031134804
LRP1,6256.595228023899,-1.1344855649266368,0.7209861111544164,-1.5735193055385497,0.11559862168767261,0.886691031134804
ABCC6,997.7192813100073,-1.4973879136726085,0.9516596950632507,-1.573448913976636,0.11561490850328905,0.886691031134804
UGT2B11,108.10444814621621,-1.8824013386979879,1.2012834586950814,-1.5669918078642193,0.11711660647606013,0.886691031134804
HNRNPA1,3078.2593337681064,-1.1840946788852171,0.7558598721187022,-1.5665531701876931,0.11721917123328769,0.886691031134804
RAN,700.0565535185393,-1.4862078118944662,0.9494112635674994,-1.5653993889959812,0.11748929160864716,0.886691031134804
GREB1,314.1153013704495,-1.269801536963036,0.8114194509869765,-1.5649138499434574,0.11760311075601612,0.886691031134804
APOC2,2.4576532411896688,-4.560261593472539,2.9221258886455836,-1.5605972388774247,0.11861881066484278,0.886691031134804
DUT,92.36227275462096,-2.012752037214549,1.2904139208860896,-1.5597724146004646,0.11881367248781403,0.886691031134804
TMEM184B,157.1625739664492,-1.529626955063161,0.98282306503043,-1.55636045742964,0.11962240254468844,0.886691031134804
WDR34,49.83691499364446,-2.104333623048322,1.3522275733436817,-1.5561978357273778,0.11966105587419332,0.886691031134804
ANXA4,685.3930106198211,-0.9354550545603801,0.601150395295131,-1.5561081916965627,0.11968236742381276,0.886691031134804
SMIM14,376.89417584697776,-1.1783032674106833,0.7573635756532868,-1.5557960605569157,0.11975659521041675,0.886691031134804
DDR1,214.33954061048564,-1.4707670809892248,0.9456552771944864,-1.5552888208403053,0.11987729860186182,0.886691031134804
ARPC1B,20.44769319600877,-1.659559674538717,1.0675782623031365,-1.5545086792592342,0.12006312800014043,0.886691031134804
ZNF532,403.3248145211175,-1.0171047405420597,0.6555232622867314,-1.5515921387655798,0.12075984534102263,0.886691031134804
BHLHE40,498.17784068334623,-1.2724911466682425,0.8205499162970491,-1.5507784735518577,0.12095478103996518,0.886691031134804
SLC22A7,263.64764547171774,-1.5458270407139314,0.9968416538608571,-1.5507247662924244,0.12096765673632813,0.886691031134804
GPX3,643.3868566278318,-1.6209256600516706,1.046824188569248,-1.5484220538188735,0.12152071487196131,0.886691031134804
VCL,555.2576431893872,-1.4644856498665724,0.9473198231201994,-1.545925266340334,0.12212261770062259,0.886691031134804
AR,1034.4990295967368,0.6159019617537795,0.3985772563916453,1.5452511448585746,0.12228552764467948,0.886691031134804
APOA1,6222.2250842578405,-1.3732428517914788,0.8896439880469266,-1.5435869519067031,0.12268842800238174,0.886691031134804
TTF2,211.68193232424778,-1.6499529835423976,1.069758764288477,-1.542359865254128,0.12298616880790485,0.886691031134804
PRDX3,254.10636346963562,-1.6224920634645468,1.0529767580121845,-1.5408621805931373,0.12335033201498438,0.886691031134804
NFKB2,230.85971686997033,-1.5699602117014746,1.0204677052837536,-1.538471235858393,0.12393343629652974,0.886691031134804
MT2A,516.087261621643,-1.6112271450508464,1.047763924261804,-1.5377768863210548,0.12410317689001321,0.886691031134804
SELENOP,639.623734859301,-1.7658820678423666,1.1490097464661586,-1.5368730102363641,0.12432441000665341,0.886691031134804
PAM,467.75826501360183,-1.3615973690909784,0.8867878383273557,-1.5354262995523262,0.12467914770892469,0.886691031134804
CD53,177.29859108505244,-1.788197944657206,1.1697870470544303,-1.5286525433496283,0.12635060285503397,0.886691031134804
PUF60,613.3448957814676,-1.388547207658736,0.9091760179786151,-1.5272589467833897,0.12669663356147545,0.886691031134804
CHP1,691.5752042276137,-1.1753878478217388,0.7705213632719471,-1.5254448531194045,0.12714817855970462,0.886691031134804
ARF5,124.02134000954409,-1.6993757423502216,1.1164892250437606,-1.5220708845476003,0.12799132040061567,0.886691031134804
SMAD7,91.87266131853563,-1.657075051408319,1.0904819844927924,-1.5195804011187417,0.12861646675382676,0.886691031134804
DAD1,227.13173572766348,-1.7938890675416672,1.1809271323362325,-1.5190514456152853,0.12874954703167557,0.886691031134804
NECTIN2,223.13656520407912,-1.3844223288604263,0.9114207972148978,-1.5189716244032585,0.12876963859335475,0.886691031134804
PTK2,662.1578900680908,-1.2198040478856018,0.8033838543392084,-1.5183327886131135,0.12893052584982773,0.886691031134804
ID3,74.38198771766291,-1.865532929824576,1.2289078895833447,-1.5180412996266759,0.12900398760435391,0.886691031134804
STX5,313.24291072931965,-1.1787291765266854,0.7781675455372962,-1.5147498546894758,0.12983576379141715,0.886691031134804
SLC29A1,367.01168022773936,-1.4197516141214501,0.9374224129140262,-1.5145270633204497,0.12989221516301802,0.886691031134804
RPL24,810.3929430538732,-1.3951134966253085,0.9230397792076861,-1.511433773550733,0.13067796992961866,0.886691031134804
PTPN18,234.7062774901585,-1.274078221470658,0.8434399124564106,-1.5105737855825063,0.13089707707854714,0.886691031134804
