feature,pvalue,fold,model
AC066616.2,0.013085578180229318,3,RF_max_depth=2_min_samples_leaf=5
ADAMTSL4-AS1,0.013523143686221031,3,RF_max_depth=2_min_samples_leaf=5
AC007878.1,0.01440233934562763,3,RF_max_depth=2_min_samples_leaf=5
AC009088.4,0.019603014555275276,3,RF_max_depth=2_min_samples_leaf=5
AL355338.1,0.01985170639077272,3,RF_max_depth=2_min_samples_leaf=5
RNA5SP252,0.019952962018621546,3,RF_max_depth=2_min_samples_leaf=5
RN7SKP292,0.020437108909472677,3,RF_max_depth=2_min_samples_leaf=5
AP000873.4,0.02273999400090854,3,RF_max_depth=2_min_samples_leaf=5
AC022034.3,0.024961165997934246,3,RF_max_depth=2_min_samples_leaf=5
IGHV3-11,0.025161521995035768,3,RF_max_depth=2_min_samples_leaf=5
RPL22P7,0.025512018412288014,3,RF_max_depth=2_min_samples_leaf=5
FRRS1L,0.025563925049954875,3,RF_max_depth=2_min_samples_leaf=5
IGKV3-11,0.026009067531019336,3,RF_max_depth=2_min_samples_leaf=5
CCDC26,0.027019751490876688,3,RF_max_depth=2_min_samples_leaf=5
SAPCD2P4,0.027198441647852678,3,RF_max_depth=2_min_samples_leaf=5
SFT2D2,0.027388275937389503,3,RF_max_depth=2_min_samples_leaf=5
SPCS3,0.029390650422631788,3,RF_max_depth=2_min_samples_leaf=5
AP001107.9,0.02960830302595167,3,RF_max_depth=2_min_samples_leaf=5
AC008957.2,0.030022626011773784,3,RF_max_depth=2_min_samples_leaf=5
RBM22P2,0.030271146989892597,3,RF_max_depth=2_min_samples_leaf=5
IGLC6,0.030294148001055763,3,RF_max_depth=2_min_samples_leaf=5
DFFA,0.030703929190985985,3,RF_max_depth=2_min_samples_leaf=5
AC138393.3,0.030969132041763367,3,RF_max_depth=2_min_samples_leaf=5
NEDD8,0.03108077244701617,3,RF_max_depth=2_min_samples_leaf=5
PIK3R3,0.03270371562028711,3,RF_max_depth=2_min_samples_leaf=5
GPR34,0.0327112444981644,3,RF_max_depth=2_min_samples_leaf=5
RNF115,0.033171633498406856,3,RF_max_depth=2_min_samples_leaf=5
AP003696.1,0.033634689802158155,3,RF_max_depth=2_min_samples_leaf=5
RPL10P12,0.034204137924759175,3,RF_max_depth=2_min_samples_leaf=5
AC106801.1,0.03501838487933134,3,RF_max_depth=2_min_samples_leaf=5
AC002558.3,0.035177635597459705,3,RF_max_depth=2_min_samples_leaf=5
ANKRD44-IT1,0.03608627588340918,3,RF_max_depth=2_min_samples_leaf=5
AKIP1,0.03649564918228619,3,RF_max_depth=2_min_samples_leaf=5
EEF1A1P8,0.036719526757806695,3,RF_max_depth=2_min_samples_leaf=5
UGT1A2P,0.037215805436745374,3,RF_max_depth=2_min_samples_leaf=5
SNORA11F,0.037442387206303315,3,RF_max_depth=2_min_samples_leaf=5
MRPS17,0.038401458163918926,3,RF_max_depth=2_min_samples_leaf=5
AC092117.2,0.038548011454550134,3,RF_max_depth=2_min_samples_leaf=5
AC002306.1,0.03891253268045464,3,RF_max_depth=2_min_samples_leaf=5
AL590705.1,0.03909724796719568,3,RF_max_depth=2_min_samples_leaf=5
AC090198.1,0.04033362426672692,3,RF_max_depth=2_min_samples_leaf=5
ZNF747,0.0406898306211125,3,RF_max_depth=2_min_samples_leaf=5
AC024896.1,0.04084678578847946,3,RF_max_depth=2_min_samples_leaf=5
STX16,0.04085759248843171,3,RF_max_depth=2_min_samples_leaf=5
AP003392.1,0.04092236689223415,3,RF_max_depth=2_min_samples_leaf=5
TSPEAR-AS2,0.04093358585821092,3,RF_max_depth=2_min_samples_leaf=5
THAP5,0.04171407357746706,3,RF_max_depth=2_min_samples_leaf=5
OR4K13,0.042079024831943264,3,RF_max_depth=2_min_samples_leaf=5
LINC01583,0.04225314380777882,3,RF_max_depth=2_min_samples_leaf=5
HSPE1P27,0.04298627418416763,3,RF_max_depth=2_min_samples_leaf=5
METTL2B,0.043400449421456974,3,RF_max_depth=2_min_samples_leaf=5
AL357055.3,0.044102838910321816,3,RF_max_depth=2_min_samples_leaf=5
UGT1A9,0.044323605753648854,3,RF_max_depth=2_min_samples_leaf=5
Z93930.2,0.04454287242583457,3,RF_max_depth=2_min_samples_leaf=5
AL139396.1,0.044849774416410255,3,RF_max_depth=2_min_samples_leaf=5
TDRKH-AS1,0.04506594816948902,3,RF_max_depth=2_min_samples_leaf=5
UBE2V2,0.045188453326733095,3,RF_max_depth=2_min_samples_leaf=5
RN7SL48P,0.04519934888018756,3,RF_max_depth=2_min_samples_leaf=5
AC125807.2,0.04523825261464363,3,RF_max_depth=2_min_samples_leaf=5
RRN3P3,0.045381529889771496,3,RF_max_depth=2_min_samples_leaf=5
AC016831.1,0.04555514818127762,3,RF_max_depth=2_min_samples_leaf=5
AP002505.1,0.04566549387190236,3,RF_max_depth=2_min_samples_leaf=5
IGLV4-69,0.04570841467290098,3,RF_max_depth=2_min_samples_leaf=5
AC127070.4,0.045732142553420264,3,RF_max_depth=2_min_samples_leaf=5
PFN1P8,0.04610528335396067,3,RF_max_depth=2_min_samples_leaf=5
GTF2IP7,0.047147326373925214,3,RF_max_depth=2_min_samples_leaf=5
AC074141.1,0.04715159472626138,3,RF_max_depth=2_min_samples_leaf=5
AP005131.1,0.04717954566965931,3,RF_max_depth=2_min_samples_leaf=5
AL034417.3,0.04739557682437654,3,RF_max_depth=2_min_samples_leaf=5
AC019205.1,0.0024007157633310983,1,RF_max_depth=2_min_samples_leaf=10
EEF1A1P17,0.003125673360492915,1,RF_max_depth=2_min_samples_leaf=10
LINC01545,0.005653241263530974,1,RF_max_depth=2_min_samples_leaf=10
ANKRD44-IT1,0.0075431386650097465,1,RF_max_depth=2_min_samples_leaf=10
IGHV3-11,0.008109527456409457,1,RF_max_depth=2_min_samples_leaf=10
LCMT1-AS2,0.008577467341293294,1,RF_max_depth=2_min_samples_leaf=10
TTC28-AS1,0.009108002808190074,1,RF_max_depth=2_min_samples_leaf=10
