feature,pvalue,fold,model
AC023818.1,0.006722199991429062,3,LR_C=0.001
RN7SL711P,0.007783248990890127,3,LR_C=0.001
C18orf15,0.008513950724870418,3,LR_C=0.001
IGLC5,0.009440238778279963,3,LR_C=0.001
AC127502.1,0.009559941912486918,3,LR_C=0.001
APOL1,0.010220807206149735,3,LR_C=0.001
LENG8-AS1,0.011475527065831633,3,LR_C=0.001
CCDC144A,0.012123518602137475,3,LR_C=0.001
LINC01419,0.012219291584045071,3,LR_C=0.001
EREG,0.012731884938143536,3,LR_C=0.001
AC066616.2,0.013085578180229318,3,LR_C=0.001
ADAMTSL4-AS1,0.013523143686221031,3,LR_C=0.001
AC007878.1,0.01440233934562763,3,LR_C=0.001
AC009088.4,0.019603014555275276,3,LR_C=0.001
AL355338.1,0.01985170639077272,3,LR_C=0.001
RNA5SP252,0.019952962018621546,3,LR_C=0.001
RN7SKP292,0.020437108909472677,3,LR_C=0.001
AP000873.4,0.02273999400090854,3,LR_C=0.001
AC022034.3,0.024961165997934246,3,LR_C=0.001
IGHV3-11,0.025161521995035768,3,LR_C=0.001
RPL22P7,0.025512018412288014,3,LR_C=0.001
FRRS1L,0.025563925049954875,3,LR_C=0.001
IGKV3-11,0.026009067531019336,3,LR_C=0.001
CCDC26,0.027019751490876688,3,LR_C=0.001
SAPCD2P4,0.027198441647852678,3,LR_C=0.001
SFT2D2,0.027388275937389503,3,LR_C=0.001
SPCS3,0.029390650422631788,3,LR_C=0.001
AP001107.9,0.02960830302595167,3,LR_C=0.001
AC008957.2,0.030022626011773784,3,LR_C=0.001
RBM22P2,0.030271146989892597,3,LR_C=0.001
IGLC6,0.030294148001055763,3,LR_C=0.001
DFFA,0.030703929190985985,3,LR_C=0.001
AC138393.3,0.030969132041763367,3,LR_C=0.001
NEDD8,0.03108077244701617,3,LR_C=0.001
PIK3R3,0.03270371562028711,3,LR_C=0.001
GPR34,0.0327112444981644,3,LR_C=0.001
RNF115,0.033171633498406856,3,LR_C=0.001
AP003696.1,0.033634689802158155,3,LR_C=0.001
RPL10P12,0.034204137924759175,3,LR_C=0.001
AC106801.1,0.03501838487933134,3,LR_C=0.001
AC002558.3,0.035177635597459705,3,LR_C=0.001
ANKRD44-IT1,0.03608627588340918,3,LR_C=0.001
AKIP1,0.03649564918228619,3,LR_C=0.001
EEF1A1P8,0.036719526757806695,3,LR_C=0.001
UGT1A2P,0.037215805436745374,3,LR_C=0.001
SNORA11F,0.037442387206303315,3,LR_C=0.001
MRPS17,0.038401458163918926,3,LR_C=0.001
AC092117.2,0.038548011454550134,3,LR_C=0.001
AC002306.1,0.03891253268045464,3,LR_C=0.001
AL590705.1,0.03909724796719568,3,LR_C=0.001
AC090198.1,0.04033362426672692,3,LR_C=0.001
ZNF747,0.0406898306211125,3,LR_C=0.001
AC024896.1,0.04084678578847946,3,LR_C=0.001
STX16,0.04085759248843171,3,LR_C=0.001
AP003392.1,0.04092236689223415,3,LR_C=0.001
TSPEAR-AS2,0.04093358585821092,3,LR_C=0.001
THAP5,0.04171407357746706,3,LR_C=0.001
OR4K13,0.042079024831943264,3,LR_C=0.001
LINC01583,0.04225314380777882,3,LR_C=0.001
HSPE1P27,0.04298627418416763,3,LR_C=0.001
METTL2B,0.043400449421456974,3,LR_C=0.001
AL357055.3,0.044102838910321816,3,LR_C=0.001
UGT1A9,0.044323605753648854,3,LR_C=0.001
Z93930.2,0.04454287242583457,3,LR_C=0.001
AL139396.1,0.044849774416410255,3,LR_C=0.001
TDRKH-AS1,0.04506594816948902,3,LR_C=0.001
UBE2V2,0.045188453326733095,3,LR_C=0.001
RN7SL48P,0.04519934888018756,3,LR_C=0.001
AC125807.2,0.04523825261464363,3,LR_C=0.001
RRN3P3,0.045381529889771496,3,LR_C=0.001
AC016831.1,0.04555514818127762,3,LR_C=0.001
AP002505.1,0.04566549387190236,3,LR_C=0.001
IGLV4-69,0.04570841467290098,3,LR_C=0.001
AC127070.4,0.045732142553420264,3,LR_C=0.001
PFN1P8,0.04610528335396067,3,LR_C=0.001
GTF2IP7,0.047147326373925214,3,LR_C=0.001
AC074141.1,0.04715159472626138,3,LR_C=0.001
AP005131.1,0.04717954566965931,3,LR_C=0.001
AL034417.3,0.04739557682437654,3,LR_C=0.001
AC019205.1,0.0024007157633310983,1,LR_C=0.01
EEF1A1P17,0.003125673360492915,1,LR_C=0.01
LINC01545,0.005653241263530974,1,LR_C=0.01
ANKRD44-IT1,0.0075431386650097465,1,LR_C=0.01
IGHV3-11,0.008109527456409457,1,LR_C=0.01
LCMT1-AS2,0.008577467341293294,1,LR_C=0.01
TTC28-AS1,0.009108002808190074,1,LR_C=0.01
IGLC5,0.009482267261043412,1,LR_C=0.01
IGKV3-11,0.009824215411721612,1,LR_C=0.01
LINC01419,0.010147549019301236,1,LR_C=0.01
IGKV3-7,0.010438182613592566,1,LR_C=0.01
FAM240B,0.01172242408064868,1,LR_C=0.01
AC024581.2,0.012241506174618073,1,LR_C=0.01
ANKHD1-EIF4EBP3,0.012468584462429115,1,LR_C=0.01
AC011468.4,0.012519918969010531,1,LR_C=0.01
AC027097.1,0.0125367047799792,1,LR_C=0.01
IGKV1-17,0.013403114762024698,1,LR_C=0.01
BACH1-IT1,0.013639221771367012,1,LR_C=0.01
RPL22P7,0.013712533380665005,1,LR_C=0.01
AC068987.3,0.014349425963747858,1,LR_C=0.01
N4BP2L2-IT2,0.014459169714950041,1,LR_C=0.01
NPM1P9,0.0145554614953388,1,LR_C=0.01
AL590609.2,0.014661278266297966,1,LR_C=0.01
AC011468.1,0.014957319247719819,1,LR_C=0.01
RF00405,0.015245233259743697,1,LR_C=0.01
BMS1P17,0.015290226992043092,1,LR_C=0.01
P3H2-AS1,0.015377867364117864,1,LR_C=0.01
CCND2,0.015628402798433604,1,LR_C=0.01
RNA5SP22,0.015862263950954095,1,LR_C=0.01
PRNCR1,0.01601432987115537,1,LR_C=0.01
IGKV3D-11,0.016194098464209935,1,LR_C=0.01
AC007495.1,0.016217137772350985,1,LR_C=0.01
RN7SL191P,0.01626112297623689,1,LR_C=0.01
NARF-AS1,0.016560677582000412,1,LR_C=0.01
IGKV1-16,0.01663133643172037,1,LR_C=0.01
RPL10P13,0.016873777359424077,1,LR_C=0.01
AC074141.1,0.016873895471247895,1,LR_C=0.01
AC025048.4,0.017068691051778266,1,LR_C=0.01
AC078962.1,0.017144810627613145,1,LR_C=0.01
AL590617.2,0.017256591179475006,1,LR_C=0.01
IGHJ4,0.017346217654090963,1,LR_C=0.01
IGKV1D-33,0.017662953136343317,1,LR_C=0.01
ITGA9-AS1,0.017795835866668597,1,LR_C=0.01
AC007384.1,0.017934373218514318,1,LR_C=0.01
IGHV7-4-1,0.017980440347323375,1,LR_C=0.01
BMS1P2,0.018091025977073606,1,LR_C=0.01
IGKV1-33,0.018240943544638902,1,LR_C=0.01
MKLN1-AS,0.01825094623500196,1,LR_C=0.01
LINC01320,0.018572930875108393,1,LR_C=0.01
IGLV2-28,0.018824053921163132,1,LR_C=0.01
TGIF2,0.019596805622958388,1,LR_C=0.01
AC107068.1,0.019919880105870896,1,LR_C=0.01
AL449283.1,0.020101427369182998,1,LR_C=0.01
AC127024.2,0.020410386872887744,1,LR_C=0.01
DEFB108E,0.020534835056340836,1,LR_C=0.01
AL589743.5,0.02095357850799837,1,LR_C=0.01
GAPDHP68,0.02101113397495345,1,LR_C=0.01
IGLV2-5,0.02107365086041101,1,LR_C=0.01
SLC44A3-AS1,0.021208275563769943,1,LR_C=0.01
AC008739.5,0.021413604266592747,1,LR_C=0.01
AC100788.1,0.021565970027585743,1,LR_C=0.01
AC019080.4,0.0216614447996323,1,LR_C=0.01
AC087280.2,0.021940084335308186,1,LR_C=0.01
LINC01476,0.022273378365144997,1,LR_C=0.01
ZNF284,0.022633431343398375,1,LR_C=0.01
ZMIZ1-AS1,0.02318031915056059,1,LR_C=0.01
H2AFZP1,0.02318286015466206,1,LR_C=0.01
LINC01503,0.023588502465817302,1,LR_C=0.01
ATP1B1P1,0.023644682907795325,1,LR_C=0.01
BX510359.5,0.023668199197230365,1,LR_C=0.01
AC114491.1,0.023865851829158298,1,LR_C=0.01
FAM215B,0.023907367990066278,1,LR_C=0.01
SVBP,0.02401318682681166,1,LR_C=0.01
RNA5SP86,0.024146010435404416,1,LR_C=0.01
AC067945.2,0.02435552664361726,1,LR_C=0.01
IGLV6-57,0.024385372242117866,1,LR_C=0.01
OR7E156P,0.024535278055896715,1,LR_C=0.01
AC068446.2,0.024754657139433384,1,LR_C=0.01
IGHV3-48,0.024798036287353692,1,LR_C=0.01
RBM48P1,0.02489936164136988,1,LR_C=0.01
DPP9-AS1,0.00028571875181092175,2,LR_C=0.01
AC112907.2,0.0014843608410372614,2,LR_C=0.01
AC073610.3,0.0015354957372589514,2,LR_C=0.01
GAPDHP68,0.002084767639307636,2,LR_C=0.01
MIR561,0.0021138651134218656,2,LR_C=0.01
SNORA19,0.002410779399649527,2,LR_C=0.01
POU3F4,0.0024888974844152873,2,LR_C=0.01
STX16-NPEPL1,0.002520574861946194,2,LR_C=0.01
SPDYA,0.0030440128097751016,2,LR_C=0.01
DEFB115,0.003225609666968984,2,LR_C=0.01
LINC01956,0.0035135989572721207,2,LR_C=0.01
FBXO16,0.003551350165254834,2,LR_C=0.01
AC092296.2,0.003738829015699416,2,LR_C=0.01
HMGN2P21,0.0037558490944186876,2,LR_C=0.01
AC105416.1,0.0037982176239538916,2,LR_C=0.01
AC073089.1,0.0038318242977588234,2,LR_C=0.01
RPL10P13,0.004254262124153218,2,LR_C=0.01
RANGRF,0.004377608298513948,2,LR_C=0.01
AC011468.4,0.004513641420347681,2,LR_C=0.01
AC093155.3,0.004565073892950772,2,LR_C=0.01
TACC1P1,0.0047136894856887185,2,LR_C=0.01
EEF1A1P17,0.004993284606090603,2,LR_C=0.01
KRT18P18,0.005295600907152624,2,LR_C=0.01
RAB9A,0.005375728150412119,2,LR_C=0.01
GAPDHP70,0.005426107859798516,2,LR_C=0.01
AC069366.1,0.005742487163784695,2,LR_C=0.01
AC093827.3,0.005787612674607453,2,LR_C=0.01
PPIAP2,0.006050989995255658,2,LR_C=0.01
KCTD14,0.006059160739740114,2,LR_C=0.01
GGPS1,0.006128307621738726,2,LR_C=0.01
H2AFZP1,0.006418880374516424,2,LR_C=0.01
KLRC3,0.006643057950817272,2,LR_C=0.01
AC091874.1,0.006724539507954197,2,LR_C=0.01
MIR509-2,0.006729869840697393,2,LR_C=0.01
TRBV19,0.006797285909607395,2,LR_C=0.01
AC087283.1,0.006847425795164163,2,LR_C=0.01
INSIG2,0.006970117666217963,2,LR_C=0.01
TRBJ2-2,0.007030342403361453,2,LR_C=0.01
AC011767.1,0.0071338028042586266,2,LR_C=0.01
RPL21P18,0.007140505826907762,2,LR_C=0.01
AC069271.1,0.0073815580908677386,2,LR_C=0.01
AL139011.2,0.007430556322342647,2,LR_C=0.01
IGHD3-10,0.007489888280203534,2,LR_C=0.01
ZNF75A,0.007570245972701911,2,LR_C=0.01
RPL13AP19,0.0076511594966744215,2,LR_C=0.01
SRRM1P3,0.007901640867801426,2,LR_C=0.01
TRAJ20,0.008160827861998959,2,LR_C=0.01
KRT18P26,0.008291899153036155,2,LR_C=0.01
ZNF396,0.008376269116160162,2,LR_C=0.01
AC006059.1,0.008454798570734013,2,LR_C=0.01
SNCA,0.008467388663511955,2,LR_C=0.01
MAGEB5,0.008557347205134418,2,LR_C=0.01
ZSCAN9,0.008615997207323098,2,LR_C=0.01
JMJD4,0.00890709632131683,2,LR_C=0.01
AL365475.1,0.00890852980177244,2,LR_C=0.01
AC006453.2,0.008952503306570641,2,LR_C=0.01
AC012618.2,0.009017066687349015,2,LR_C=0.01
AC025198.1,0.009092374150628404,2,LR_C=0.01
IGLV2-5,0.00909514946871904,2,LR_C=0.01
TRAJ41,0.00912543572867515,2,LR_C=0.01
CCDC3,0.00922306248408519,2,LR_C=0.01
SPEM1,0.009245429163922096,2,LR_C=0.01
IGLV6-57,0.009259293091893269,2,LR_C=0.01
LCE3B,0.009353251959937421,2,LR_C=0.01
CCDC183,0.009459949526977382,2,LR_C=0.01
C11orf74,0.00963965741851771,2,LR_C=0.01
AC239859.6,0.009696079994142742,2,LR_C=0.01
SEPT14P1,0.009743072213377345,2,LR_C=0.01
